,feature_0_df1,feature_1_df1,feature_2_df1,feature_3_df1,feature_4_df1,feature_5_df1,feature_6_df1,feature_7_df1,feature_8_df1,feature_9_df1,feature_10_df1,feature_11_df1,feature_12_df1,feature_13_df1,feature_14_df1,feature_15_df1,feature_16_df1,feature_17_df1,feature_18_df1,feature_19_df1,feature_20_df1,feature_21_df1,feature_22_df1,feature_23_df1,feature_24_df1,feature_25_df1,feature_26_df1,feature_27_df1,feature_28_df1,feature_29_df1,feature_30_df1,machine,feature_0_df2,feature_1_df2,feature_2_df2,feature_3_df2,feature_4_df2,feature_5_df2,feature_6_df2,feature_7_df2,feature_8_df2,feature_9_df2,feature_10_df2,feature_11_df2,feature_12_df2,feature_13_df2,feature_14_df2,feature_15_df2,feature_16_df2,feature_17_df2,feature_18_df2,feature_19_df2,feature_20_df2,feature_21_df2,feature_22_df2,feature_23_df2,feature_24_df2,feature_25_df2,feature_26_df2,feature_27_df2,feature_28_df2,feature_29_df2,feature_30_df2,feature_31_df2,feature_32_df2,feature_33_df2,feature_34_df2,feature_35_df2,feature_36_df2,feature_37_df2,feature_38_df2,feature_39_df2,feature_40_df2,feature_41_df2,feature_42_df2,feature_43_df2,feature_44_df2,feature_45_df2,feature_46_df2,feature_47_df2,feature_48_df2,feature_49_df2,feature_50_df2,feature_51_df2,feature_52_df2,feature_53_df2,feature_54_df2,feature_55_df2,feature_56_df2,feature_57_df2,feature_58_df2,feature_59_df2,feature_60_df2,feature_61_df2,feature_62_df2,feature_63_df2,feature_64_df2,feature_65_df2,feature_66_df2,feature_67_df2,feature_68_df2,feature_69_df2,feature_70_df2,feature_71_df2,feature_72_df2,feature_73_df2,feature_74_df2,feature_75_df2,feature_76_df2,feature_77_df2,feature_78_df2,feature_79_df2
327,0.0042881332,0.024889743,-0.007586232,0.11606757,-0.029390823,-0.018348904,0.005007165,-0.0048191817,-0.01149519,-0.042751033,0.025426298,-0.0023685757,-0.020509215,-0.12044036,0.008956254,0.12513337,543034240.0,3969327600.0,220446780.0,9274211000.0,31042218.0,23909882.0,4064123.2,1301400.9,914699.8,867798900.0,2106177900.0,1217.5077,152187.56,197820820.0,0.4304245,Quartz,0.017527487,0.0006696427,-0.0012803166,0.0008850321,0.017649353,-0.114775255,0.0023872654,-0.0035500801,-0.0011943214,0.0030203268,-0.013290379,-0.0021928044,0.020698229,0.0009363796,0.008570745,0.003564504,0.0023520854,0.0013460417,0.0033289404,0.0012840847,0.001308791,0.05481641,0.006303292,0.013573341,0.010985139,0.031444356,0.0077044037,0.00050355954,0.000302418,7.047169e-05,9.3704584e-05,0.0006938159,0.03965857,0.006882347,0.016015097,0.0011373202,0.015318567,0.017204102,0.004985157,0.00969944,0.013428666,0.0045669936,0.010955668,0.06873966,0.18861975,0.002200036,0.0011922978,0.049939595,0.08584565,0.3325381,0.0005596897,0.0021280309,0.005725141,0.07451438,0.03703592,0.00091020606,0.0022330056,0.0015645357,0.004245772,0.0045431694,0.009358015,0.0017133439,0.0028702242,0.005969216,0.032196004,0.0030950133,0.0007470158,4.5161112e-05,0.025717562,0.022957254,0.0017469845,0.0012078597,0.0072720423,0.060848612,0.0010890282,0.038244378,0.06965594,0.00021345606,0.00038394326,0.00014463102
328,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,1.4902171,0.0001774123,-0.0017729058,0.003342921,0.011455217,-0.002904281,0.009648476,-0.004339744,-0.0004735091,0.0012437121,-0.0044015464,-0.023630716,0.008677956,-0.0014635101,-0.0028056747,-0.01792122,0.00016710648,0.00012346751,0.0002827738,6.224446e-05,0.00014629413,0.00020278306,0.016575465,0.0005632897,0.00029553144,6.0410708e-05,0.0006977934,0.027402543,6.886284e-05,1.7200435e-05,7.0238298e-06,0.00011625526,0.0042646276,0.00021493639,0.00067117956,0.00020442517,0.0038070874,0.0035211833,0.0007338779,0.0013387798,0.0010630396,7.4492644e-05,0.0013922047,0.0062360014,0.004698201,5.571274e-05,6.064884e-05,0.0006771663,0.01784144,0.0025836653,0.00023161077,1.9744783e-05,0.0010201726,0.0032436636,0.0022795722,3.734703e-05,0.00037871106,0.0003892496,0.0012108763,0.00095299096,0.0012945497,4.0206498e-05,0.00011763696,0.00033621924,0.0033913958,4.139604e-05,0.00088630716,0.0002559826,7.046218e-05,0.00012878617,7.369275e-05,0.003337502,0.001334834,0.00037913222,1.5281537e-05,0.0064380323,0.0106414575,1.2690667e-05,9.738472e-05,0.00011462864
329,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.120335475,0.0005279218,-0.010027562,0.035504125,0.007027576,-0.023190517,0.0011879558,-0.0019619165,-0.00012162256,0.0010083674,-0.018559843,-0.0004398608,0.004017549,0.024494171,0.003991196,0.009271266,0.0005659658,0.0034788833,9.860871e-05,0.00056544016,0.00018307017,0.0015205237,0.0004620283,0.00032884677,0.0010945301,0.00021995707,0.0009765323,0.015991462,2.4311501e-05,1.3690746e-05,5.530304e-05,9.4862386e-05,0.002191612,0.00059719756,0.0002709668,0.00010361471,0.00048629384,0.0005663273,8.8834415e-05,0.00087057275,0.0026916785,0.0001391771,0.0015328262,0.017682495,0.019931974,6.492293e-05,0.000113599504,0.00013598536,0.0029460383,0.005720921,3.127164e-05,4.050936e-05,0.0012466328,0.00025490898,0.0015746224,0.0004944434,0.0003839601,0.0004801374,0.0033875564,5.984357e-05,0.00017313108,0.00014104934,0.00020517637,0.0043812203,0.0065484922,0.00064887374,0.0030651346,0.0005753254,0.003229185,0.0024966465,5.5564848e-05,0.004476251,0.0013437273,0.00083046313,0.00017967646,0.03608425,0.006199274,4.982014e-06,1.1303824e-05,3.0318935e-05
330,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.08620767,0.00019516704,-0.002716204,0.0024757234,0.02333172,-0.0050157695,0.002106261,-0.00074186496,-0.0025513023,0.0027516421,-0.0032794003,-0.0006800146,-0.027684294,0.00046907243,-0.0051638884,0.018070467,0.0006777221,0.001143096,0.0018054242,0.00020531159,0.00012923745,0.0021847934,0.00011525718,0.00084305496,0.0005457178,0.006152564,0.000617366,0.11758049,4.7807884e-05,2.9962326e-05,1.4924585e-05,0.00012299359,0.003057687,0.00056868646,0.0006209559,6.0196703e-06,0.0028089192,0.005217914,0.001291659,0.0017963143,0.0009146682,6.078503e-05,0.0036008316,0.08769178,0.0026686639,0.00015356412,0.0006537445,0.0005220242,0.0046411916,0.014614023,0.00021481172,1.7958999e-05,0.0003664737,0.00076862075,0.0030782474,0.0004066201,0.00063721125,0.0005306887,0.00047628276,8.428814e-05,0.00046464748,2.1701442e-05,0.0017505699,0.0009848076,0.0047064577,0.00017292077,4.6431593e-05,0.00029130245,0.00017005355,0.00087386783,8.4024985e-05,0.009059879,0.0006018735,0.0023514524,1.3309126e-05,0.0026189953,0.059909236,0.00014725483,8.95169e-06,0.00010215853
331,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.2026374,0.0009832652,-0.0026222647,0.0055310917,0.0053729336,-0.013306363,0.010319007,-0.0015740007,-0.00092444354,0.0003061743,-0.019731041,-0.0020034553,-0.0012450914,-0.0012720219,-0.0044357986,0.02093596,0.00018229336,0.00026333978,0.00067232025,0.00020846612,0.00013370014,0.0005327902,0.00096343394,0.00034243692,0.0034412737,0.0003055222,0.00047189588,0.015059561,8.900787e-05,1.2846631e-05,0.00012472359,0.00010138035,0.020076048,0.0011535727,0.00032174133,0.00048728366,0.00061596336,0.0018162825,0.0009162845,0.0021460254,0.020439468,0.00043305018,0.00047704717,0.00415307,0.01795797,9.006715e-05,9.5842785e-05,0.00024029937,0.008695068,0.006347158,0.00017234204,0.00015268721,8.304805e-05,0.010830669,0.00469779,6.6011016e-05,0.0005261233,0.0011659403,0.00057933934,0.0020965904,0.00065524946,0.000289866,0.0020226692,0.00041129402,0.0006229399,0.00026229327,0.00084814994,7.3946874e-05,0.0011295944,0.00035742123,8.3632614e-05,0.005052199,0.00334575,7.5217205e-05,0.000116536234,0.012863468,0.007618212,1.1579746e-05,0.000101321246,4.8591188e-05
332,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.042561956,0.00016791887,-0.001971017,0.0009197371,0.0043551256,-0.04390349,0.0048852856,-0.0004531866,-0.0017834399,0.004759086,-0.009158334,0.007852394,-0.040981945,0.01673182,-0.0066374885,0.0030486414,0.0003652513,0.00067392335,0.0020324395,0.00035643764,0.00020538724,0.0010437453,0.0010252804,0.0016394805,0.0004299512,0.0013883447,0.00053446356,0.044724476,7.0718415e-06,2.0021042e-05,0.000103582766,0.0003866441,0.0011375321,0.00049681537,0.00063213485,8.4140425e-05,0.0037826246,0.0038031903,0.00031743236,0.0005257613,0.0026404394,8.18933e-05,0.00093093247,0.0033275222,0.00034930013,0.00036235063,0.000425331,0.00039450856,0.002072964,0.0039666365,0.0013770168,0.00019708059,0.00091661746,0.00043956915,0.0020760375,0.00016853584,0.0014205987,0.0006495813,0.0009645217,0.0015300413,0.0022737745,5.7210153e-05,0.00010127391,0.00010671979,0.0010846677,0.00015308453,0.00019821517,0.00011500894,0.0009330115,0.01111637,0.00011602804,0.002601728,0.00051216746,0.0007196368,0.0002661142,0.030826446,0.03111823,2.2024658e-06,4.8020003e-05,2.8944327e-05
333,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.054866392,0.0028838413,-0.009484136,0.0056702965,0.00091958506,-0.0023469697,0.003971932,-0.00033528684,-0.00086416607,0.0026409128,-0.063247755,0.0038739077,0.009309419,-0.011124965,-0.007925975,0.0012280615,0.000365965,0.005465482,0.0018685838,4.8130707e-05,0.0013816131,0.0044123186,0.0044803726,0.0011334522,0.0011670843,0.0011646958,0.00050402735,0.027885891,0.00028370591,6.076188e-05,2.9747343e-05,0.00025280527,0.001704714,0.001025574,0.0026176716,5.1456835e-05,0.0007104728,0.0006126691,0.0040643835,0.0035806275,0.032762747,0.00018650098,0.0060011046,0.036325403,0.028225416,0.0007015501,0.00028491078,0.0036851922,0.0019385378,0.031679045,0.0001141555,3.3847613e-05,0.00023491165,0.0005897388,0.015516003,0.0012775852,0.0010294631,0.007935443,0.0005200273,0.0011720138,0.0005969216,0.00012335199,0.0003638451,0.002353422,0.0026452865,0.000997047,2.5242565e-05,1.0715e-05,0.0047346842,0.002154499,0.00066263846,0.029529283,0.013457842,0.003671764,0.000287211,0.0049749175,0.008353958,1.5945428e-05,1.9792713e-05,3.26766e-05
334,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.0056241257,0.0003493127,-0.0028113686,0.0045623546,0.011765633,-0.012524281,0.018452022,-0.003937682,-0.00031047326,0.00043107953,-0.09420861,0.008888108,0.003934936,-0.00035727292,-0.020066338,-0.010618861,0.00035024318,0.0037132162,0.0022852856,0.003161593,0.00064235006,0.0114769405,0.004205495,0.003422075,0.0035932264,0.004560941,0.0048736148,0.008259954,0.000100501944,5.4417205e-06,0.0011167801,0.00023715718,0.007560866,0.002705067,0.0023801848,0.00014552467,0.0011768042,0.0054211,0.0046362374,0.01777943,0.002275346,0.0013388655,0.0039661974,0.013196329,0.049233075,0.0006051627,0.0007859227,0.0043231566,0.0088570425,0.05424161,0.00043256837,0.00012407526,0.0009762871,0.00944871,0.023345934,5.8191283e-05,0.0004260293,0.0033383132,0.0010093942,0.00127608,0.0015237037,0.00033664212,0.00066888565,0.00048633374,0.0023654301,0.0072472612,0.00039954012,0.00018522172,0.0016490141,0.005532511,0.00033227744,0.053728495,0.0044140336,0.0030498288,0.00017097002,0.010982184,0.0274882,1.374087e-05,0.00012049105,0.00024772453
335,0.020337032,0.0058946144,-0.005745162,0.07450652,-0.0049510333,-0.0032765393,0.0043138866,-0.0078042424,-0.06254902,-0.15639758,0.0073356824,-0.0011466942,-0.07416698,-0.026924483,0.0064048446,0.026492078,262625630.0,2128262500.0,912214900.0,26327110000.0,7994749.0,72600590.0,838406.9,181850.95,1100029.5,5999796000.0,1779382500.0,3266.1018,85680.055,47445190.0,0.3136228,Quartz,0.017527487,0.0006696427,-0.0012803166,0.0008850321,0.017649353,-0.114775255,0.0023872654,-0.0035500801,-0.0011943214,0.0030203268,-0.013290379,-0.0021928044,0.020698229,0.0009363796,0.008570745,0.003564504,0.0023520854,0.0013460417,0.0033289404,0.0012840847,0.001308791,0.05481641,0.006303292,0.013573341,0.010985139,0.031444356,0.0077044037,0.00050355954,0.000302418,7.047169e-05,9.3704584e-05,0.0006938159,0.03965857,0.006882347,0.016015097,0.0011373202,0.015318567,0.017204102,0.004985157,0.00969944,0.013428666,0.0045669936,0.010955668,0.06873966,0.18861975,0.002200036,0.0011922978,0.049939595,0.08584565,0.3325381,0.0005596897,0.0021280309,0.005725141,0.07451438,0.03703592,0.00091020606,0.0022330056,0.0015645357,0.004245772,0.0045431694,0.009358015,0.0017133439,0.0028702242,0.005969216,0.032196004,0.0030950133,0.0007470158,4.5161112e-05,0.025717562,0.022957254,0.0017469845,0.0012078597,0.0072720423,0.060848612,0.0010890282,0.038244378,0.06965594,0.00021345606,0.00038394326,0.00014463102
336,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,1.4902171,0.0001774123,-0.0017729058,0.003342921,0.011455217,-0.002904281,0.009648476,-0.004339744,-0.0004735091,0.0012437121,-0.0044015464,-0.023630716,0.008677956,-0.0014635101,-0.0028056747,-0.01792122,0.00016710648,0.00012346751,0.0002827738,6.224446e-05,0.00014629413,0.00020278306,0.016575465,0.0005632897,0.00029553144,6.0410708e-05,0.0006977934,0.027402543,6.886284e-05,1.7200435e-05,7.0238298e-06,0.00011625526,0.0042646276,0.00021493639,0.00067117956,0.00020442517,0.0038070874,0.0035211833,0.0007338779,0.0013387798,0.0010630396,7.4492644e-05,0.0013922047,0.0062360014,0.004698201,5.571274e-05,6.064884e-05,0.0006771663,0.01784144,0.0025836653,0.00023161077,1.9744783e-05,0.0010201726,0.0032436636,0.0022795722,3.734703e-05,0.00037871106,0.0003892496,0.0012108763,0.00095299096,0.0012945497,4.0206498e-05,0.00011763696,0.00033621924,0.0033913958,4.139604e-05,0.00088630716,0.0002559826,7.046218e-05,0.00012878617,7.369275e-05,0.003337502,0.001334834,0.00037913222,1.5281537e-05,0.0064380323,0.0106414575,1.2690667e-05,9.738472e-05,0.00011462864
337,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,0.120335475,0.0005279218,-0.010027562,0.035504125,0.007027576,-0.023190517,0.0011879558,-0.0019619165,-0.00012162256,0.0010083674,-0.018559843,-0.0004398608,0.004017549,0.024494171,0.003991196,0.009271266,0.0005659658,0.0034788833,9.860871e-05,0.00056544016,0.00018307017,0.0015205237,0.0004620283,0.00032884677,0.0010945301,0.00021995707,0.0009765323,0.015991462,2.4311501e-05,1.3690746e-05,5.530304e-05,9.4862386e-05,0.002191612,0.00059719756,0.0002709668,0.00010361471,0.00048629384,0.0005663273,8.8834415e-05,0.00087057275,0.0026916785,0.0001391771,0.0015328262,0.017682495,0.019931974,6.492293e-05,0.000113599504,0.00013598536,0.0029460383,0.005720921,3.127164e-05,4.050936e-05,0.0012466328,0.00025490898,0.0015746224,0.0004944434,0.0003839601,0.0004801374,0.0033875564,5.984357e-05,0.00017313108,0.00014104934,0.00020517637,0.0043812203,0.0065484922,0.00064887374,0.0030651346,0.0005753254,0.003229185,0.0024966465,5.5564848e-05,0.004476251,0.0013437273,0.00083046313,0.00017967646,0.03608425,0.006199274,4.982014e-06,1.1303824e-05,3.0318935e-05
338,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,0.08620767,0.00019516704,-0.002716204,0.0024757234,0.02333172,-0.0050157695,0.002106261,-0.00074186496,-0.0025513023,0.0027516421,-0.0032794003,-0.0006800146,-0.027684294,0.00046907243,-0.0051638884,0.018070467,0.0006777221,0.001143096,0.0018054242,0.00020531159,0.00012923745,0.0021847934,0.00011525718,0.00084305496,0.0005457178,0.006152564,0.000617366,0.11758049,4.7807884e-05,2.9962326e-05,1.4924585e-05,0.00012299359,0.003057687,0.00056868646,0.0006209559,6.0196703e-06,0.0028089192,0.005217914,0.001291659,0.0017963143,0.0009146682,6.078503e-05,0.0036008316,0.08769178,0.0026686639,0.00015356412,0.0006537445,0.0005220242,0.0046411916,0.014614023,0.00021481172,1.7958999e-05,0.0003664737,0.00076862075,0.0030782474,0.0004066201,0.00063721125,0.0005306887,0.00047628276,8.428814e-05,0.00046464748,2.1701442e-05,0.0017505699,0.0009848076,0.0047064577,0.00017292077,4.6431593e-05,0.00029130245,0.00017005355,0.00087386783,8.4024985e-05,0.009059879,0.0006018735,0.0023514524,1.3309126e-05,0.0026189953,0.059909236,0.00014725483,8.95169e-06,0.00010215853
339,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,0.2026374,0.0009832652,-0.0026222647,0.0055310917,0.0053729336,-0.013306363,0.010319007,-0.0015740007,-0.00092444354,0.0003061743,-0.019731041,-0.0020034553,-0.0012450914,-0.0012720219,-0.0044357986,0.02093596,0.00018229336,0.00026333978,0.00067232025,0.00020846612,0.00013370014,0.0005327902,0.00096343394,0.00034243692,0.0034412737,0.0003055222,0.00047189588,0.015059561,8.900787e-05,1.2846631e-05,0.00012472359,0.00010138035,0.020076048,0.0011535727,0.00032174133,0.00048728366,0.00061596336,0.0018162825,0.0009162845,0.0021460254,0.020439468,0.00043305018,0.00047704717,0.00415307,0.01795797,9.006715e-05,9.5842785e-05,0.00024029937,0.008695068,0.006347158,0.00017234204,0.00015268721,8.304805e-05,0.010830669,0.00469779,6.6011016e-05,0.0005261233,0.0011659403,0.00057933934,0.0020965904,0.00065524946,0.000289866,0.0020226692,0.00041129402,0.0006229399,0.00026229327,0.00084814994,7.3946874e-05,0.0011295944,0.00035742123,8.3632614e-05,0.005052199,0.00334575,7.5217205e-05,0.000116536234,0.012863468,0.007618212,1.1579746e-05,0.000101321246,4.8591188e-05
340,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,0.042561956,0.00016791887,-0.001971017,0.0009197371,0.0043551256,-0.04390349,0.0048852856,-0.0004531866,-0.0017834399,0.004759086,-0.009158334,0.007852394,-0.040981945,0.01673182,-0.0066374885,0.0030486414,0.0003652513,0.00067392335,0.0020324395,0.00035643764,0.00020538724,0.0010437453,0.0010252804,0.0016394805,0.0004299512,0.0013883447,0.00053446356,0.044724476,7.0718415e-06,2.0021042e-05,0.000103582766,0.0003866441,0.0011375321,0.00049681537,0.00063213485,8.4140425e-05,0.0037826246,0.0038031903,0.00031743236,0.0005257613,0.0026404394,8.18933e-05,0.00093093247,0.0033275222,0.00034930013,0.00036235063,0.000425331,0.00039450856,0.002072964,0.0039666365,0.0013770168,0.00019708059,0.00091661746,0.00043956915,0.0020760375,0.00016853584,0.0014205987,0.0006495813,0.0009645217,0.0015300413,0.0022737745,5.7210153e-05,0.00010127391,0.00010671979,0.0010846677,0.00015308453,0.00019821517,0.00011500894,0.0009330115,0.01111637,0.00011602804,0.002601728,0.00051216746,0.0007196368,0.0002661142,0.030826446,0.03111823,2.2024658e-06,4.8020003e-05,2.8944327e-05
341,0.021575024,0.017465815,-0.005681072,0.006673701,-0.22187063,-0.011666463,0.006776023,-0.0030765696,-0.03903983,-0.09295193,0.009756014,-0.0068453504,-0.010611548,-0.055930194,0.004536886,0.041384146,583294850.0,5901063000.0,351016200.0,4117615400.0,11476746.0,128392640.0,4314172.0,843220.94,818893.1,2204567600.0,402914400.0,604.6275,27555.947,469272580.0,0.05156001,Quartz,0.054866392,0.0028838413,-0.009484136,0.0056702965,0.00091958506,-0.0023469697,0.003971932,-0.00033528684,-0.00086416607,0.0026409128,-0.063247755,0.0038739077,0.009309419,-0.011124965,-0.007925975,0.0012280615,0.000365965,0.005465482,0.0018685838,4.8130707e-05,0.0013816131,0.0044123186,0.0044803726,0.0011334522,0.0011670843,0.0011646958,0.00050402735,0.027885891,0.00028370591,6.076188e-05,2.9747343e-05,0.00025280527,0.001704714,0.001025574,0.0026176716,5.1456835e-05,0.0007104728,0.0006126691,0.0040643835,0.0035806275,0.032762747,0.00018650098,0.0060011046,0.036325403,0.028225416,0.0007015501,0.00028491078,0.0036851922,0.0019385378,0.031679045,0.0001141555,3.3847613e-05,0.00023491165,0.0005897388,0.015516003,0.0012775852,0.0010294631,0.007935443,0.0005200273,0.0011720138,0.0005969216,0.00012335199,0.0003638451,0.002353422,0.0026452865,0.000997047,2.5242565e-05,1.0715e-05,0.0047346842,0.002154499,0.00066263846,0.029529283,0.013457842,0.003671764,0.000287211,0.0049749175,0.008353958,1.5945428e-05,1.9792713e-05,3.26766e-05
